feature,faixa,valor_representativo,n,n_recuperados,taxa_recuperacao,ic_inf,ic_sup
nearest_teammate_dist,"(-0.001, 3.81e-07]",1.6404804517941375e-07,1454,443,0.3046767537826685,0.2815585587877681,0.32882435249696945
nearest_teammate_dist,"(3.81e-07, 7.63e-07]",6.29128827280477e-07,1427,394,0.27610371408549406,0.2535319226006868,0.2998777629997318
nearest_teammate_dist,"(7.63e-07, 8.53e-07]",7.999295507420265e-07,1394,429,0.30774748923959827,0.284073350114376,0.33247833929020315
nearest_teammate_dist,"(8.53e-07, 1.53e-06]",1.2408882596936375e-06,1541,478,0.3101881894873459,0.28758832211925633,0.33373207733140586
nearest_teammate_dist,"(1.53e-06, 1.54e-06]",1.5274715205382306e-06,1212,347,0.2863036303630363,0.2615608506460105,0.3123968096281567
nearest_teammate_dist,"(1.54e-06, 1.71e-06]",1.6115648133212242e-06,1597,421,0.2636192861615529,0.24259559434879352,0.28577748141335557
nearest_teammate_dist,"(1.71e-06, 2.16e-06]",1.7694021230748529e-06,1354,371,0.2740029542097489,0.2509103493060706,0.2983743389815766
nearest_teammate_dist,"(2.16e-06, 3.05e-06]",2.5662954601301826e-06,1519,396,0.260697827518104,0.23924325136554797,0.28335975606477176
nearest_teammate_dist,"(3.05e-06, 3.15e-06]",3.1009414504388474e-06,1151,303,0.263249348392702,0.2386244009519115,0.2894494058801249
nearest_teammate_dist,"(3.15e-06, 4.32e-06]",3.479943771677081e-06,1350,340,0.2518518518518518,0.22942256844440664,0.27568940329586195
