feature_encoded,ranking,support,support_weak,decisao
had_tackle,1,True,False,INCLUIR
had_foul,1,True,False,INCLUIR
n_teammates_10m,1,True,False,INCLUIR
voronoi_area_carrier,1,True,False,INCLUIR
duration,1,True,False,INCLUIR
dist_to_goal,1,True,False,INCLUIR
nearest_opponent_dist,1,True,False,INCLUIR
n_adversaries_5m,10,False,False,EXCLUIR
numerical_superiority,6,False,False,EXCLUIR
n_opponents_10m,7,False,False,EXCLUIR
is_counterpress,9,False,False,EXCLUIR
nearest_teammate_dist,5,False,False,EXCLUIR
voronoi_area_presser,1,True,False,INCLUIR
pressing_compactness,1,True,False,INCLUIR
had_block,12,False,False,EXCLUIR
minute,4,False,False,EXCLUIR
score_diff,8,False,False,EXCLUIR
action_under_pressure_Carry,4,False,False,EXCLUIR
action_under_pressure_Dribble,2,False,False,EXCLUIR
action_under_pressure_Other,1,True,False,INCLUIR
action_under_pressure_Pass,1,True,False,INCLUIR
zone_Defensivo,1,True,False,INCLUIR
zone_Medio,2,False,False,EXCLUIR
trigger_type_Carry,11,False,False,EXCLUIR
trigger_type_Dribble,14,False,False,EXCLUIR
trigger_type_Other,1,True,False,INCLUIR
trigger_type_Pass,13,False,False,EXCLUIR
